iter	Passed	Remaining
0	1	139
1	2	127
2	3	121
3	4	108
4	5	105
5	6	103
6	7	101
7	8	100
8	9	98
9	10	97
10	11	96
11	13	95
12	14	94
13	15	94
14	16	93
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	77
27	29	76
28	31	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	69
34	37	68
35	37	67
36	38	66
37	39	65
38	40	64
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
