iter	Passed	Remaining
0	153	153382
1	154	77255
2	156	52013
3	160	40010
4	162	32392
5	164	27173
6	165	23459
7	166	20669
8	167	18484
9	169	16759
10	172	15478
11	173	14313
12	175	13319
13	176	12452
14	178	11711
15	179	11047
16	181	10466
17	182	9946
18	183	9475
19	185	9101
20	190	8869
21	194	8634
22	195	8314
23	196	8009
24	198	7734
25	201	7539
26	204	7367
27	205	7137
28	206	6929
29	208	6737
30	209	6557
31	211	6387
32	212	6225
33	215	6118
34	216	5979
35	218	5847
36	219	5717
37	220	5593
38	222	5475
39	223	5363
40	224	5252
41	225	5148
42	227	5058
43	229	4988
44	232	4924
45	233	4843
46	234	4761
47	236	4682
48	237	4609
49	238	4539
50	240	4471
51	242	4416
52	247	4420
53	248	4355
54	250	4296
55	251	4238
56	252	4180
57	253	4122
58	255	4070
59	256	4025
60	259	4000
61	263	3986
62	265	3941
63	266	3897
64	268	3855
65	269	3812
66	271	3774
67	274	3758
68	275	3722
69	278	3697
70	279	3659
71	280	3621
72	282	3586
73	283	3551
74	285	3515
75	288	3501
76	291	3499
77	293	3465
78	294	3430
79	295	3395
80	296	3365
81	297	3335
82	298	3299
83	299	3270
84	302	3258
85	304	3233
86	305	3210
87	307	3187
88	309	3163
89	310	3138
90	311	3112
91	312	3087
92	314	3062
93	315	3039
94	317	3022
95	322	3038
96	326	3035
97	327	3013
98	328	2991
99	329	2969
100	331	2954
101	336	2966
102	338	2946
103	339	2926
104	341	2906
105	342	2886
106	343	2868
107	345	2849
108	346	2833
109	349	2827
110	350	2809
111	352	2792
112	353	2773
113	354	2755
114	355	2739
115	357	2721
116	358	2702
117	359	2685
118	360	2671
119	363	2663
120	366	2658
121	367	2644
122	368	2629
123	369	2613
124	371	2599
125	372	2585
126	373	2569
127	375	2557
128	379	2560
129	381	2555
130	383	2540
131	384	2527
132	385	2514
133	386	2501
134	388	2486
135	389	2473
136	391	2465
137	394	2464
138	397	2464
139	399	2453
140	400	2441
141	401	2427
142	403	2416
143	404	2406
144	408	2406
145	410	2401
146	412	2396
147	414	2384
148	415	2373
149	417	2363
150	418	2352
151	420	2344
152	424	2348
153	427	2346
154	428	2335
155	429	2325
156	431	2315
157	432	2305
158	433	2294
159	435	2287
160	437	2277
161	438	2268
162	439	2258
163	441	2249
164	442	2241
165	444	2232
166	445	2222
167	446	2212
168	448	2203
169	449	2195
170	453	2196
171	457	2202
172	460	2199
173	461	2190
174	462	2181
175	464	2174
176	469	2181
177	471	2177
178	472	2169
179	474	2161
